handle,display_name,category,priority,enabled,notes
YCCMacro,YCC 宏观,宏观市场,medium,1,面向投资者的宏观经济研究 免费每日简讯
OilHeadlineNews,能源头条新闻,能源原油,high,1,能源新闻聚合器
i3_invest,吉列尔梅·塔瓦雷斯（i3 invest）,宏观市场,medium,1,i3 invest 首席执行官 量化交易员
HE4DEYES,封城耶稣,地缘情报,medium,1,时事/地缘观察
sentdefender,OSINTdefender,地缘情报,medium,1,开源情报监测平台 关注欧洲及全球动态
MacroAlf,阿尔法（MacroAlf）,宏观市场,medium,1,Palinuro Capital 创始人
bravosresearch,Bravos 研究,宏观市场,medium,1,数据驱动型投资研究与市场分析
visegrad24,维谢格拉德24,地缘情报,medium,1,精选新闻 政治和时事资讯
NextWaveEFT,NextWave EFT,能源原油,high,1,能源领域基本面分析
OilCfd,石油大盗（Oil Bandit）,能源原油,high,1,油气市场评论 Hydrocarbons barbarian
RedboxWire,RedboxGlobal,宏观市场,medium,1,金融市场资讯
MacroMargin,宏观边际 MacroMargin,宏观市场,medium,1,宏观边际研究
ed_fin,Ed Finley-Richardson,航运油轮,high,1,航运（shipping）研究
TankerTrackers,TankerTrackers.com Inc.,航运油轮,high,1,油轮追踪 海运保险/政府/石油公司情报
Kpler,Kpler,航运油轮,high,1,贸易与航运情报工具
HFI_Research,HFI Research,能源原油,high,1,逆向投资研究 能源方向
KobeissiLetter,The Kobeissi Letter,宏观市场,medium,1,全球资本市场评论
FirstSquawk,First Squawk,宏观市场,medium,1,全球金融市场/宏观/地缘快讯
BurggrabenH,Alexander Stahel,能源原油,high,1,能源投资者
JKempEnergy,John Kemp,能源原油,high,1,Reuters 能源市场分析师
pboockvar,Peter Boockvar,宏观市场,medium,1,Bleakley 首席投资官
JavierBlas,Javier Blas,能源原油,high,1,Bloomberg 能源与大宗商品专栏作家
Gugo907,Gurgen Ayvazyan,能源原油,high,1,投资能源 葡萄酒与油气生产商
AzizSapphire,عبدالعزيز المقبل（Aziz Al-Muqbil）,能源原油,high,1,Energy observer（O&G）
Investingcom,Investing.com,宏观市场,medium,1,行情与财经新闻 多语言
EnergyAspects,Energy Aspects,能源原油,high,1,领先能源市场研究机构
financialjuice,FinancialJuice,宏观市场,medium,1,突发新闻头条
Rory_Johnston,Rory Johnston,能源原油,high,1,油市研究员 Commodity Context 创始人
OilandEnergy,OilPrice.com,能源原油,high,1,全球油气与能源新闻
ReutersCommods,Reuters Energy & Commodities,能源原油,high,1,路透社能源与大宗商品新闻
ChineseWSJ,华尔街日报中文网,宏观市场,medium,1,全球市场与宏观财经资讯
JoshYoung,Josh Young,能源原油,high,1,油气股投资 Bison Insights
Barchart,Barchart,宏观市场,medium,1,金融市场/期货/大宗商品/外汇行情
chigrl,Tracy Shuchart,能源原油,high,1,NinjaTrader 高级经济学家 Hilltower Resources CEO
igorsushko,Igor Sushko,地缘情报,medium,1,地缘/安全观察
